"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"06.08.2021","1,1760","1,1834","1,1837","1,1753","-0,61%"
"05.08.2021","1,1832","1,1837","1,1858","1,1827","-0,03%"
"04.08.2021","1,1835","1,1864","1,1901","1,1832","-0,21%"
"03.08.2021","1,1860","1,1868","1,1894","1,1853","-0,06%"
"02.08.2021","1,1867","1,1864","1,1897","1,1858","-0,03%"
"30.07.2021","1,1870","1,1888","1,1910","1,1851","-0,13%"
"29.07.2021","1,1886","1,1845","1,1894","1,1840","0,37%"
"28.07.2021","1,1842","1,1817","1,1851","1,1773","0,24%"
"27.07.2021","1,1814","1,1804","1,1841","1,1769","0,13%"
"26.07.2021","1,1799","1,1778","1,1818","1,1763","0,24%"
"23.07.2021","1,1771","1,1769","1,1788","1,1753","0,01%"
"22.07.2021","1,1770","1,1793","1,1831","1,1757","-0,19%"
"21.07.2021","1,1792","1,1782","1,1805","1,1752","0,11%"
"20.07.2021","1,1779","1,1801","1,1805","1,1755","-0,16%"
"19.07.2021","1,1798","1,1808","1,1825","1,1763","-0,06%"
"16.07.2021","1,1805","1,1814","1,1823","1,1791","-0,06%"
"15.07.2021","1,1812","1,1837","1,1852","1,1796","-0,19%"
"14.07.2021","1,1835","1,1776","1,1839","1,1772","0,52%"
"13.07.2021","1,1774","1,1862","1,1876","1,1772","-0,72%"
"12.07.2021","1,1859","1,1872","1,1881","1,1836","-0,12%"
"09.07.2021","1,1873","1,1844","1,1882","1,1825","0,26%"
"08.07.2021","1,1842","1,1792","1,1868","1,1783","0,45%"
"07.07.2021","1,1789","1,1823","1,1839","1,1782","-0,28%"
"06.07.2021","1,1822","1,1863","1,1896","1,1806","-0,33%"
"05.07.2021","1,1861","1,1862","1,1882","1,1851","-0,03%"
"02.07.2021","1,1864","1,1849","1,1875","1,1806","0,14%"
"01.07.2021","1,1848","1,1859","1,1885","1,1837","-0,06%"
"30.06.2021","1,1855","1,1897","1,1910","1,1845","-0,34%"
"29.06.2021","1,1895","1,1926","1,1932","1,1877","-0,24%"
"28.06.2021","1,1924","1,1935","1,1946","1,1902","-0,08%"
"25.06.2021","1,1933","1,1932","1,1976","1,1925","0,03%"
"24.06.2021","1,1930","1,1927","1,1957","1,1918","0,04%"
"23.06.2021","1,1925","1,1939","1,1970","1,1911","-0,11%"
"22.06.2021","1,1938","1,1918","1,1954","1,1881","0,19%"
"21.06.2021","1,1915","1,1868","1,1922","1,1847","0,46%"
"18.06.2021","1,1860","1,1908","1,1926","1,1846","-0,39%"
"17.06.2021","1,1906","1,1996","1,2007","1,1891","-0,73%"
"16.06.2021","1,1994","1,2127","1,2135","1,1993","-1,07%"
"15.06.2021","1,2124","1,2120","1,2149","1,2100","0,05%"
"14.06.2021","1,2118","1,2110","1,2131","1,2093","0,10%"
"11.06.2021","1,2106","1,2170","1,2196","1,2092","-0,52%"
"10.06.2021","1,2169","1,2181","1,2195","1,2142","-0,07%"
"09.06.2021","1,2178","1,2173","1,2219","1,2170","0,06%"
"08.06.2021","1,2171","1,2190","1,2196","1,2163","-0,15%"
"07.06.2021","1,2189","1,2168","1,2203","1,2145","0,20%"
"04.06.2021","1,2165","1,2129","1,2186","1,2104","0,34%"
"03.06.2021","1,2124","1,2210","1,2217","1,2118","-0,70%"
"02.06.2021","1,2209","1,2214","1,2227","1,2163","-0,02%"
"01.06.2021","1,2211","1,2227","1,2255","1,2211","-0,11%"
"31.05.2021","1,2225","1,2192","1,2233","1,2183","0,30%"
"28.05.2021","1,2189","1,2195","1,2205","1,2132","-0,02%"
"27.05.2021","1,2192","1,2192","1,2216","1,2175","0,02%"
"26.05.2021","1,2190","1,2251","1,2263","1,2182","-0,49%"
"25.05.2021","1,2250","1,2217","1,2267","1,2211","0,29%"
"24.05.2021","1,2215","1,2178","1,2230","1,2172","0,30%"
"21.05.2021","1,2179","1,2228","1,2241","1,2161","-0,38%"
"20.05.2021","1,2226","1,2171","1,2230","1,2169","0,44%"
"19.05.2021","1,2172","1,2222","1,2246","1,2160","-0,39%"
"18.05.2021","1,2220","1,2153","1,2234","1,2151","0,57%"
"17.05.2021","1,2151","1,2140","1,2170","1,2126","0,09%"
"14.05.2021","1,2140","1,2080","1,2150","1,2070","0,51%"
"13.05.2021","1,2078","1,2073","1,2108","1,2050","0,07%"
"12.05.2021","1,2069","1,2148","1,2153","1,2065","-0,63%"
"11.05.2021","1,2146","1,2129","1,2182","1,2122","0,14%"
"10.05.2021","1,2129","1,2161","1,2178","1,2127","-0,28%"
"07.05.2021","1,2163","1,2066","1,2172","1,2053","0,82%"
"06.05.2021","1,2064","1,2005","1,2072","1,1992","0,49%"
"05.05.2021","1,2005","1,2013","1,2027","1,1985","-0,07%"
"04.05.2021","1,2013","1,2064","1,2066","1,1998","-0,40%"
"03.05.2021","1,2061","1,2031","1,2076","1,2012","0,36%"
"30.04.2021","1,2018","1,2116","1,2127","1,2016","-0,83%"
"29.04.2021","1,2118","1,2126","1,2150","1,2102","-0,04%"
"28.04.2021","1,2123","1,2091","1,2135","1,2055","0,27%"
"27.04.2021","1,2090","1,2086","1,2093","1,2056","0,06%"
"26.04.2021","1,2083","1,2093","1,2118","1,2061","-0,13%"
"23.04.2021","1,2099","1,2015","1,2100","1,2012","0,70%"
"22.04.2021","1,2015","1,2035","1,2070","1,1993","-0,15%"
"21.04.2021","1,2033","1,2037","1,2045","1,1998","0,00%"
"20.04.2021","1,2033","1,2036","1,2081","1,2022","0,00%"
"19.04.2021","1,2033","1,1984","1,2049","1,1942","0,42%"
