iter	Passed	Remaining
399	75841	113761
400	76019	113555
401	76206	113362
402	76387	113159
403	76595	112996
404	76770	112785
405	76945	112575
406	77132	112382
407	77319	112189
408	77496	111981
409	77685	111790
410	77861	111582
411	78033	111367
412	78219	111173
413	78398	110969
414	78583	110775
415	78776	110589
416	78952	110381
417	79135	110183
418	79304	109966
419	79492	109775
420	79686	109592
421	79868	109393
422	80047	109190
423	80230	108991
424	80403	108780
425	80576	108570
426	80778	108397
427	80955	108192
428	81131	107986
429	81321	107798
430	81497	107592
431	81699	107419
432	81871	107208
433	82048	107003
434	82230	106805
435	82467	106677
436	82658	106491
437	82845	106299
438	83013	106083
439	83195	105884
440	83392	105706
441	83567	105499
442	83764	105320
443	83944	105119
444	84130	104926
445	84309	104725
446	84489	104524
447	84664	104319
448	84860	104138
449	85039	103937
450	85220	103738
451	85421	103563
452	85600	103363
453	85796	103182
454	85975	102981
455	86147	102772
456	86328	102574
457	86521	102390
458	86700	102189
459	86923	102040
460	87099	101836
461	87279	101636
462	87470	101451
463	87651	101252
464	87831	101053
465	88015	100858
466	88191	100655
467	88373	100458
468	88556	100262
469	88725	100051
470	88926	99876
471	89097	99668
472	89272	99463
473	89465	99280
474	89641	99077
475	89819	98876
476	90018	98699
477	90191	98493
478	90371	98295
479	90572	98120
480	90747	97916
481	90942	97734
482	91125	97540
483	91303	97339
484	91495	97155
485	91671	96952
486	91854	96758
487	92051	96578
488	92223	96373
489	92397	96168
490	92589	95983
491	92762	95779
492	92938	95577
493	93147	95409
494	93331	95217
495	93514	95022
496	93708	94839
497	93894	94649
498	94084	94461
499	94256	94256
500	94436	94059
501	94623	93869
502	94798	93667
503	94967	93460
504	95161	93276
505	95334	93073
506	95508	92871
507	95687	92673
508	95866	92476
509	96035	92269
510	96239	92096
511	96412	91893
512	96588	91692
513	96782	91509
514	96949	91301
515	97139	91115
516	97315	90915
517	97498	90722
518	97683	90531
519	97866	90338
520	98044	90141
521	98245	89964
522	98418	89762
523	98593	89561
524	98784	89376
525	98965	89181
526	99143	88984
527	99332	88797
528	99509	88599
529	99680	88396
530	99876	88214
531	100048	88012
532	100248	87835
533	100426	87638
534	100602	87439
535	100785	87247
536	100959	87047
537	101138	86851
538	101346	86680
539	101524	86483
540	101704	86288
541	101890	86099
542	102063	85898
543	102246	85706
544	102442	85525
545	102619	85328
546	102791	85126
547	102978	84938
548	103148	84736
549	103340	84551
550	103515	84352
551	103689	84154
552	103877	83966
553	104066	83779
554	104242	83581
555	104440	83402
556	104623	83210
557	104797	83011
558	104993	82830
559	105173	82636
560	105350	82440
561	105541	82254
562	105708	82051
563	105886	81855
564	106081	81673
