iter	Accuracy	Logloss	F1
182	0.7351937984	0.6284241267	0.7487939758
183	0.7369302326	0.6280075655	0.749911567
184	0.7370542636	0.6275025487	0.75
185	0.7379844961	0.627032832	0.7506639127
186	0.7401550388	0.6266257986	0.7528315243
187	0.7412093023	0.6262490149	0.7536454336
188	0.743751938	0.6257088308	0.7560226736
189	0.7451162791	0.6252930349	0.7569198013
190	0.7457364341	0.6248956877	0.7575112373
191	0.7478449612	0.624396103	0.759180289
192	0.7499534884	0.6238561444	0.7613918807
193	0.7506356589	0.6234685864	0.7619442307
194	0.7513178295	0.622926362	0.7627218935
195	0.7534883721	0.6223878694	0.7645560623
196	0.7544186047	0.621849455	0.765208111
197	0.7537984496	0.6214279579	0.7644476089
198	0.7556589147	0.6208803705	0.7662830704
199	0.7577054264	0.6203782661	0.7685289413
200	0.7590077519	0.6199099774	0.7698140031
201	0.7623565891	0.6193904169	0.7727703985
202	0.7629767442	0.6189013186	0.7737122558
203	0.7647751938	0.6183923985	0.7751496829
204	0.7657054264	0.6178961345	0.7758661604
205	0.767255814	0.6173997392	0.776992097
206	0.7679379845	0.6169079982	0.7776060858
207	0.7685581395	0.6164488182	0.7783321454
208	0.7693643411	0.6160260155	0.779064932
209	0.7712868217	0.6155167857	0.7808674985
210	0.7715348837	0.6150085195	0.7809229305
211	0.7729612403	0.6144665069	0.7824588508
212	0.7735193798	0.6140474065	0.7828517065
213	0.7745116279	0.6135659934	0.7835714286
214	0.775627907	0.61310677	0.7845659164
215	0.7778604651	0.6125843765	0.7864552283
216	0.7786046512	0.6122267653	0.7872213613
217	0.7797209302	0.611763605	0.788344655
218	0.7807751938	0.6113506851	0.7892446193
219	0.7820155039	0.6109225338	0.7902118771
220	0.7834418605	0.6103873361	0.7915721619
221	0.7858604651	0.6098279692	0.7940597602
222	0.7854883721	0.6092754543	0.7933815184
223	0.7867906977	0.6087807866	0.7946236559
224	0.7872868217	0.6083453722	0.7948564593
225	0.7889612403	0.6078634957	0.7961909325
226	0.7901395349	0.6073405118	0.7972438586
227	0.791627907	0.6068974283	0.798633585
228	0.7930542636	0.6063434272	0.8000958486
229	0.7946046512	0.6058332377	0.8013673983
230	0.7957209302	0.6053331477	0.8024706165
231	0.7968372093	0.6047927716	0.8037147993
232	0.7983875969	0.6043059571	0.8050374813
233	0.799503876	0.6038219253	0.8061866795
234	0.800372093	0.6033545233	0.8069796726
235	0.8026046512	0.6027879577	0.8088862204
236	0.8037829457	0.6022828656	0.8102434929
237	0.8048992248	0.6019657048	0.8110964333
238	0.8065736434	0.601424991	0.8125713599
239	0.807627907	0.6011037515	0.8137160701
240	0.8088682171	0.6006124371	0.8148281663
241	0.8099224806	0.6001620963	0.8158606188
242	0.8102325581	0.5998170168	0.8162162162
243	0.8114108527	0.5993025556	0.81739026
244	0.8124651163	0.598831913	0.8183129056
245	0.8120310078	0.5982724383	0.8177938082
246	0.8133953488	0.5979134411	0.8189639613
247	0.8146356589	0.5974296567	0.8201888949
248	0.8143255814	0.5968829272	0.8198555957
249	0.8149457364	0.596350054	0.8203924401
250	0.8159379845	0.5959096133	0.821376986
251	0.8168062016	0.5955180392	0.8220267502
252	0.8186666667	0.5950676833	0.8236216673
253	0.8194108527	0.5946690973	0.8242182784
254	0.8204651163	0.5941005411	0.8254025692
255	0.8215193798	0.59361102	0.826626506
256	0.8226356589	0.5931502727	0.8276277724
257	0.8234418605	0.5927836383	0.8283595587
258	0.8240620155	0.5924050152	0.8289418149
259	0.8243100775	0.5919794081	0.8293476297
260	0.8262325581	0.5914741235	0.8312048193
261	0.8269147287	0.5911011594	0.831837079
262	0.8281550388	0.5907132611	0.8329414602
263	0.8287751938	0.5903431735	0.8333635102
264	0.8294573643	0.5898757398	0.833997344
265	0.8295193798	0.5894151537	0.834147813
266	0.8308837209	0.5890728638	0.835415535
267	0.831751938	0.5885876703	0.8360824119
268	0.831751938	0.5882527157	0.8360824119
269	0.8328682171	0.5876708546	0.8370912168
270	0.8330542636	0.5872309095	0.8373217307
271	0.8328062016	0.5867267484	0.8370996979
272	0.8340465116	0.5863375625	0.8382690681
273	0.8359069767	0.5859316585	0.8399661304
274	0.8367131783	0.5854138991	0.8409736063
275	0.8373333333	0.5849824735	0.8414435109
276	0.8383255814	0.5846627233	0.8423153693
277	0.8391937984	0.5842181581	0.843086233
278	0.8388217054	0.5836921185	0.84279925
279	0.840372093	0.58324471	0.8442642788
280	0.840372093	0.5827547326	0.8440755997
281	0.8405581395	0.5823012267	0.8443798802
282	0.8429147287	0.5818006814	0.8467356447
283	0.8437209302	0.5813769614	0.8475683523
284	0.8447751938	0.581039473	0.8485141923
285	0.8455813953	0.5806024923	0.8492371034
286	0.8463875969	0.5801105582	0.8499969721
287	0.8471317829	0.5796085676	0.8507236723
288	0.847751938	0.5790631823	0.85136526
289	0.848620155	0.5785412554	0.8522665376
290	0.8493643411	0.5781405027	0.8529927979
291	0.8497984496	0.5776556467	0.8532654792
292	0.8512248062	0.5773313247	0.8545619885
293	0.8518449612	0.5769863054	0.8550452036
294	0.8520310078	0.5765546029	0.8553588749
295	0.8535813953	0.5760932118	0.8569697704
296	0.8556899225	0.5756010319	0.8590124205
297	0.856248062	0.5751789809	0.8595662183
298	0.8573023256	0.5747712523	0.8604524228
299	0.8570542636	0.5742037072	0.8602776262
300	0.8574883721	0.5736689931	0.8606090016
301	0.8586666667	0.5731257851	0.8618704164
302	0.8596589147	0.5725992408	0.8628235437
303	0.8618294574	0.5721775028	0.8649369544
304	0.8630077519	0.5718486541	0.8661130978
305	0.8623875969	0.5714890334	0.8654906953
306	0.8626356589	0.5711186223	0.8656680211
307	0.8625116279	0.5708019719	0.8655467281
308	0.8638139535	0.570254977	0.8669090909
309	0.864620155	0.5698306801	0.8676087088
310	0.8649302326	0.5695131178	0.8678879049
311	0.8664186047	0.5691298535	0.8692961165
312	0.8672248062	0.5686885024	0.8701243555
313	0.8669767442	0.5683132555	0.8698027314
314	0.8679689922	0.5678700865	0.8707582104
315	0.8690852713	0.5672742488	0.8718197826
316	0.8692713178	0.5666371129	0.8720718534
317	0.8704496124	0.5662353268	0.8730785588
318	0.8710697674	0.5657128638	0.873747495
319	0.8715658915	0.5653242557	0.8742485883
320	0.8731162791	0.564886528	0.875713765
321	0.8734263566	0.5644039719	0.8761453972
322	0.8739844961	0.5639728665	0.8766840636
323	0.8745426357	0.5635244281	0.8772078907
324	0.8744806202	0.5631403584	0.877184466
325	0.8751007752	0.5627592972	0.8777912621
326	0.8753488372	0.5624456698	0.87800437
327	0.8754728682	0.5620187089	0.8781553398
328	0.8759689922	0.5616186836	0.8785818358
329	0.8762170543	0.5611744171	0.8788246722
330	0.8756589147	0.5607847757	0.8782561176
331	0.8758449612	0.5604746298	0.878475173
332	0.8764651163	0.559993528	0.8790675085
333	0.8765891473	0.5595404515	0.8791449047
334	0.8777674419	0.5590765395	0.8802624385
335	0.8775813953	0.5584968408	0.880160272
336	0.8786356589	0.5581540881	0.8810551267
337	0.879627907	0.557790116	0.8819845565
338	0.880620155	0.5575205574	0.8830000608
339	0.8808682171	0.557094286	0.8832573686
340	0.8809302326	0.5568298886	0.8833394094
341	0.8821705426	0.556513022	0.8846387371
342	0.8827906977	0.5562906927	0.8851343138
343	0.8827906977	0.5559338935	0.8851901349
344	0.8823565891	0.5555672788	0.8847018781
345	0.8837209302	0.5551547846	0.8860390202
346	0.8841550388	0.5548642262	0.8864989671
347	0.8849612403	0.5544819379	0.887309398
348	0.8848992248	0.5541682791	0.8871595331
349	0.8850852713	0.5537262031	0.8874308973
350	0.8852093023	0.5533751524	0.8875250653
351	0.8855193798	0.5530288617	0.8878084356
352	0.8870077519	0.5526246464	0.8892401216
353	0.887379845	0.5521946045	0.8896182835
354	0.8876899225	0.5518202362	0.8899021217
355	0.8880620155	0.55151018	0.8903202285
356	0.8879379845	0.5509716803	0.890131939
357	0.8881860465	0.5506072019	0.8904151219
358	0.8893023256	0.5502666111	0.8914299617
359	0.8902945736	0.5498990529	0.8924554684
360	0.8905426357	0.549535677	0.8926072406
361	0.8906046512	0.5492085353	0.8927137818
362	0.8909767442	0.5487940714	0.8929745525
363	0.8915968992	0.5482936014	0.8935833435
364	0.8925271318	0.5478507607	0.8944901065
365	0.8927751938	0.5475533238	0.8946695096
366	0.8927131783	0.5471218603	0.8945636275
367	0.8937674419	0.5466758756	0.8955806157
368	0.8943875969	0.54639797	0.8961522044
369	0.8949457364	0.5459530348	0.8967073171
370	0.896124031	0.5455294247	0.8978222412
371	0.8959379845	0.5451035838	0.8976704476
372	0.8963100775	0.5447682655	0.8980239083
373	0.8968682171	0.5444454884	0.8986284669
374	0.8976744186	0.5440119899	0.8993902439
375	0.8976744186	0.5436115187	0.8993165731
376	0.8973643411	0.5432787681	0.8990053091
377	0.8984806202	0.5428705172	0.9001037408
378	0.8987286822	0.5424499218	0.9003843104
379	0.8982325581	0.5420711289	0.8998596448
380	0.8987286822	0.5416642165	0.9003235061
381	0.8989767442	0.5413825293	0.9005797986
382	0.8997209302	0.5408665285	0.9013362621
383	0.9004031008	0.5404453615	0.9020731707
384	0.9005271318	0.540062603	0.902147389
385	0.9012713178	0.5396709353	0.9028083028
386	0.9018294574	0.5393111615	0.903351853
387	0.9026356589	0.5388457463	0.9040576876
388	0.9031317829	0.5385381649	0.9045815516
389	0.9036899225	0.5381248208	0.9051603053
390	0.904620155	0.5377817188	0.9060017113
391	0.9051782946	0.5373943165	0.9064888998
392	0.9059224806	0.5369986744	0.9072114502
393	0.9056744186	0.5366314575	0.9069781665
394	0.9064186047	0.5362784073	0.9077007768
395	0.9075348837	0.5359950208	0.9087347738
396	0.9073488372	0.5356508751	0.9085343455
397	0.9079689922	0.5352883456	0.9091243111
398	0.9089612403	0.5348395735	0.9100269674
399	0.9089612403	0.5344980583	0.9100600417
400	0.9102635659	0.5341387972	0.9113846531
401	0.9104496124	0.5336876518	0.911649535
402	0.9110077519	0.5333782288	0.9121625757
403	0.9109457364	0.532981947	0.9120959843
404	0.911503876	0.5326751099	0.9126201702
405	0.9124341085	0.5322892487	0.9135015927
406	0.9128062016	0.5318989205	0.9138585958
407	0.9136124031	0.5314723409	0.9146602953
408	0.9137984496	0.5311245343	0.9148597329
409	0.9131162791	0.5308614625	0.9141701893
410	0.9140465116	0.5304429403	0.9150735294
411	0.9146666667	0.5300390298	0.9156966058
412	0.9152868217	0.5296846707	0.9163092758
413	0.9160310078	0.5291950324	0.9169427064
414	0.9173333333	0.5287924791	0.9182760101
415	0.9172093023	0.5283383418	0.9181433564
416	0.9176434109	0.5279159531	0.918627451
417	0.9182635659	0.5275416606	0.9192104941
418	0.9178914729	0.5273156441	0.9188824899
419	0.9182015504	0.5268152201	0.9191045692
420	0.9185736434	0.5263765519	0.9195613551
421	0.9190077519	0.5260548936	0.9199656821
422	0.9198139535	0.5257142033	0.9207574922
423	0.920124031	0.5253323027	0.9210009814
424	0.919875969	0.5250068471	0.9207556428
425	0.9203100775	0.5247590571	0.9211317744
426	0.920744186	0.5244559152	0.9215276925
427	0.9218604651	0.5240935748	0.9227088701
428	0.9231007752	0.5236007764	0.9238983675
429	0.9246511628	0.5231256119	0.9254006263
430	0.9242170543	0.5228147596	0.9249477951
431	0.9250232558	0.5225039704	0.9257325389
432	0.9253953488	0.5221467488	0.9261011119
433	0.9253953488	0.5218034386	0.9261011119
434	0.9257054264	0.5214997107	0.9263675476
435	0.9264496124	0.5211693665	0.9271230183
436	0.9266976744	0.520777277	0.9273777341
437	0.9279379845	0.5203790886	0.9285714286
438	0.927875969	0.5199436735	0.9285407066
439	0.9283100775	0.5194535978	0.9289751782
440	0.9286821705	0.5190940833	0.9293525003
441	0.928620155	0.5187226805	0.9292954113
442	0.9289922481	0.5183676583	0.9296466974
443	0.9294883721	0.5179650407	0.9301639948
444	0.9295503876	0.5175485321	0.9301696582
445	0.9302325581	0.5171399803	0.9308585828
446	0.9306046512	0.5168319347	0.9312442396
447	0.9304806202	0.5164452621	0.9311044189
448	0.9308527132	0.5160861485	0.9314563226
449	0.9316589147	0.5156446628	0.9322929467
450	0.9314108527	0.5153757134	0.932047186
451	0.9321550388	0.5149131184	0.9328009828
452	0.9325271318	0.5145108829	0.9331941545
453	0.9325891473	0.5141073451	0.9332432598
454	0.9335813953	0.5137283991	0.934209718
455	0.9338914729	0.513479004	0.9345530452
456	0.9338914729	0.513123042	0.934601227
457	0.9340775194	0.5128276156	0.9347972766
458	0.9344496124	0.5124735338	0.9351334765
459	0.9344496124	0.512191994	0.9351175496
460	0.9343875969	0.5118263598	0.9350760923
461	0.935627907	0.5113885222	0.9363268311
462	0.9354418605	0.5110463913	0.9360996869
463	0.9360620155	0.5106391673	0.9367135228
464	0.936372093	0.5103159162	0.9370165746
465	0.936620155	0.5099290669	0.9372698257
466	0.9369922481	0.5095338336	0.9375921376
467	0.9366821705	0.5092278696	0.9373042677
468	0.9370542636	0.5088973815	0.9377338814
469	0.9376124031	0.508505558	0.9382746349
470	0.9376124031	0.5081707118	0.9382291539
471	0.9381085271	0.5078325776	0.9387429413
472	0.9381705426	0.5075394101	0.9388381081
473	0.9387286822	0.5072354127	0.9393790649
474	0.9389147287	0.5069475417	0.9395742592
475	0.9394728682	0.5065333073	0.9401006505
476	0.9392868217	0.5061461877	0.939912846
477	0.9397209302	0.5058227339	0.9403095063
478	0.9395968992	0.5054490858	0.9401572868
479	0.9399689922	0.505078569	0.9405551462
480	0.9407131783	0.5047801381	0.9412992755
481	0.9407751938	0.504410519	0.9413210445
482	0.9409612403	0.5040320126	0.9415089703
483	0.9408992248	0.5036988347	0.9414295372
484	0.9413953488	0.5032420453	0.9419212095
485	0.9415813953	0.5030270172	0.9420949103
486	0.9414573643	0.502723855	0.941986234
487	0.9418914729	0.5023470059	0.9424128818
488	0.9417054264	0.5019800496	0.9422107463
489	0.9418914729	0.5016533173	0.9424128818
490	0.9418294574	0.5012707189	0.9423549656
491	0.9424496124	0.5009228825	0.9429625077
492	0.9425736434	0.5005507987	0.9431064144
493	0.9424496124	0.5001410244	0.9429484815
494	0.9429457364	0.4998254557	0.9434403049
495	0.9431317829	0.4994979726	0.9436489891
496	0.943379845	0.499206129	0.9438810007
497	0.9439379845	0.4987776525	0.944403444
498	0.944	0.4985167957	0.944461529
499	0.9443100775	0.498132451	0.9447928194
500	0.9444341085	0.4977212156	0.9449225473
501	0.9451162791	0.4974073099	0.9456020653
502	0.9452403101	0.4971210577	0.9457116508
503	0.9455503876	0.4968324863	0.9460422812
504	0.9459224806	0.496533703	0.9463780593
505	0.9466046512	0.496135355	0.9470381989
506	0.9466666667	0.4957701952	0.9471029647
507	0.9464186047	0.4954858792	0.9468373123
508	0.9464806202	0.4951635095	0.9468890393
509	0.9469767442	0.4948689496	0.9473749
510	0.9472248062	0.4945715093	0.9476468779
511	0.9468527132	0.4942961358	0.947271273
512	0.9474728682	0.4939643112	0.9478672986
513	0.9481550388	0.4935867478	0.9485475135
514	0.9481550388	0.4933333053	0.9485601772
515	0.9474728682	0.4929499749	0.947892956
516	0.9480310078	0.4926310405	0.9484498031
517	0.9478449612	0.4921704983	0.9482557066
518	0.9485891473	0.4918504088	0.9490128544
519	0.9480310078	0.4914911105	0.9484307692
520	0.9482170543	0.4911093853	0.948643828
521	0.9488372093	0.4908018367	0.949258872
522	0.9485271318	0.4904658115	0.9489670438
523	0.9486511628	0.4902231506	0.9490712265
524	0.9490232558	0.4898519374	0.9494402756
525	0.9499534884	0.4895060986	0.9503903609
526	0.9500155039	0.4891804551	0.9504426955
527	0.9505736434	0.4887874515	0.9510051024
528	0.9510697674	0.4885031872	0.9514909314
529	0.9507596899	0.4881876405	0.9511625046
530	0.951255814	0.4877665925	0.9516545701
531	0.9518139535	0.4874151261	0.9522110831
532	0.9520620155	0.4869480825	0.9524454014
533	0.9519379845	0.4865715429	0.9523223624
534	0.952248062	0.4863051917	0.9526387009
535	0.9531162791	0.4860339943	0.9534883721
536	0.9535503876	0.4856728167	0.9539275389
537	0.9538604651	0.4853418099	0.9542266519
538	0.9539224806	0.484965417	0.9542909874
539	0.9543565891	0.4845465308	0.9547132661
540	0.9544806202	0.4842530984	0.9548418851
541	0.9544806202	0.48392992	0.9548418851
542	0.9547286822	0.4835795784	0.9550935039
543	0.9549767442	0.4833157348	0.9553560448
544	0.9550387597	0.4829394009	0.9554147961
545	0.9555968992	0.4826267597	0.9559547244
546	0.9555968992	0.4822859808	0.9559655597
547	0.9551627907	0.4818681493	0.9555323206
548	0.9554728682	0.4815748548	0.9558425584
549	0.9551627907	0.4813498924	0.9555377898
550	0.9552868217	0.4810398461	0.9556662362
551	0.9554108527	0.4807434958	0.9557620132
552	0.9554728682	0.4804379042	0.9558153846
553	0.9557829457	0.4800415165	0.9561635413
554	0.9562790698	0.4797120402	0.9566393997
555	0.9559689922	0.4793853122	0.9563345633
556	0.9568372093	0.4790052394	0.9572008363
557	0.9567131783	0.4787063024	0.9570778502
558	0.9570852713	0.4784438651	0.9574572728
559	0.9573333333	0.4780901832	0.9576667487
560	0.9567131783	0.4777199835	0.9570672899
561	0.9568372093	0.4774787188	0.9571903063
562	0.9571472868	0.4772317651	0.957484772
563	0.9573953488	0.476951082	0.9577308805
564	0.9583875969	0.4765335527	0.9587609858
565	0.9586976744	0.4762090669	0.9590758265
566	0.9589457364	0.4759088806	0.9592865929
567	0.9590077519	0.4756021365	0.9593405917
568	0.959627907	0.4751598118	0.9599655618
569	0.960372093	0.4748219458	0.9607180181
570	0.960248062	0.4744402875	0.9605999139
571	0.960372093	0.4740770738	0.9607325017
572	0.9606821705	0.4737654629	0.9610421531
573	0.960124031	0.4734977476	0.9604866958
574	0.9601860465	0.4731630166	0.9605408728
575	0.9606821705	0.4728648523	0.9610325753
576	0.9609302326	0.4725328861	0.9612784266
577	0.9614263566	0.4722494394	0.9617701291
578	0.9618604651	0.472031639	0.9621980454
579	0.9617364341	0.4717673254	0.9620797738
580	0.9617984496	0.4714899485	0.9621482119
581	0.9617984496	0.4712300779	0.962138906
582	0.9623565891	0.470918245	0.9626989492
583	0.9627906977	0.4706282474	0.9631540162
584	0.9629147287	0.4702437626	0.9632813459
585	0.9635968992	0.4699155253	0.9639457036
586	0.9634108527	0.4696551431	0.9637503072
587	0.9638449612	0.4692421349	0.9641517555
588	0.9639069767	0.4689382205	0.9642198451
589	0.9647751938	0.4685081987	0.965076242
590	0.9648372093	0.4681278755	0.9651398709
591	0.9654573643	0.4678222586	0.9657420506
592	0.9653953488	0.4675996904	0.9656826568
593	0.9654573643	0.4672196061	0.965737836
594	0.9652713178	0.4669751375	0.9655596556
595	0.9655813953	0.4666105191	0.9658566595
596	0.9655193798	0.4663985029	0.9657930356
597	0.9660155039	0.4660052069	0.9662893701
598	0.9664496124	0.4657455752	0.9667343049
599	0.9665736434	0.4655180414	0.9668613587
600	0.9666976744	0.465168921	0.9669802619
601	0.9669457364	0.4648052987	0.967234278
602	0.9670697674	0.4645071725	0.9673612392
603	0.9670077519	0.4641561928	0.9672937415
604	0.9666976744	0.4638970098	0.9669924396
605	0.9671317829	0.4635782777	0.9674166974
606	0.967627907	0.463214629	0.9679242964
607	0.967503876	0.4628901504	0.9677895254
608	0.968124031	0.462557878	0.9684081131
609	0.968	0.4622905052	0.9682734875
610	0.968248062	0.4620455837	0.9685155577
611	0.968372093	0.4618651712	0.9686308279
612	0.9688682171	0.4615435904	0.9691228933
613	0.9692403101	0.461190261	0.969488189
614	0.9688682171	0.4608884885	0.9691152947
